Employee ID,Age,Attrition,Department,DistanceFromHome,Education,Education Text,EducationField,EnvironmentSatisfaction,EnvironmentSatisfaction Text,JobSatisfaction,JobSatisfaction Text,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,WorkLifeBalance Text,YearsAtCompany
1001,41,Yes,Sales,1,2,Some College,Life Sciences,2,Medium,4,Very High,Single,5993,8,1,Bad,6
1002,49,No,Research & Development,8,1,Below College,Life Sciences,3,High,2,Medium,Married,5130,1,3,Better,10
1003,37,Yes,Research & Development,2,2,Some College,Other,4,Very High,3,High,Single,2090,6,3,Better,0
1004,33,No,Research & Development,3,4,Master,Life Sciences,4,Very High,3,High,Married,2909,1,3,Better,8
1005,27,No,Research & Development,2,1,Below College,Medical,1,Low,2,Medium,Married,3468,9,3,Better,2
1006,32,No,Research & Development,2,2,Some College,Life Sciences,4,Very High,4,Very High,Single,3068,0,2,Good,7
1007,59,No,Research & Development,3,3,Bachelor,Medical,3,High,1,Low,Married,2670,4,2,Good,1
1008,30,No,Research & Development,24,1,Below College,Life Sciences,4,Very High,3,High,Divorced,2693,1,3,Better,1
1009,38,No,Research & Development,23,3,Bachelor,Life Sciences,4,Very High,3,High,Single,9526,0,3,Better,9
1010,36,No,Research & Development,27,3,Bachelor,Medical,3,High,3,High,Married,5237,6,2,Good,7
1011,35,No,Research & Development,16,3,Bachelor,Medical,1,Low,2,Medium,Married,2426,0,3,Better,5
1012,29,No,Research & Development,15,2,Some College,Life Sciences,4,Very High,3,High,Single,4193,0,3,Better,9
1013,31,No,Research & Development,26,1,Below College,Life Sciences,1,Low,3,High,Divorced,2911,1,2,Good,5
1014,34,No,Research & Development,19,2,Some College,Medical,2,Medium,4,Very High,Divorced,2661,0,3,Better,2
1015,28,Yes,Research & Development,24,3,Bachelor,Life Sciences,3,High,3,High,Single,2028,5,3,Better,4
1016,29,No,Research & Development,21,4,Master,Life Sciences,2,Medium,1,Low,Divorced,9980,1,3,Better,10
1017,32,No,Research & Development,5,2,Some College,Life Sciences,1,Low,2,Medium,Divorced,3298,0,2,Good,6
1018,22,No,Research & Development,16,2,Some College,Medical,4,Very High,4,Very High,Divorced,2935,1,2,Good,1
1019,53,No,Sales,2,4,Master,Life Sciences,1,Low,4,Very High,Married,15427,2,3,Better,25
1020,38,No,Research & Development,2,3,Bachelor,Life Sciences,4,Very High,4,Very High,Single,3944,5,3,Better,3
1021,24,No,Research & Development,11,2,Some College,Other,1,Low,3,High,Divorced,4011,0,2,Good,4
1022,36,Yes,Sales,9,4,Master,Life Sciences,3,High,1,Low,Single,3407,7,3,Better,5
1023,34,No,Research & Development,7,4,Master,Life Sciences,1,Low,2,Medium,Single,11994,0,3,Better,12
1024,21,No,Research & Development,15,2,Some College,Life Sciences,3,High,4,Very High,Single,1232,1,3,Better,0
1025,34,Yes,Research & Development,6,1,Below College,Medical,2,Medium,1,Low,Single,2960,2,3,Better,4
1026,53,No,Research & Development,5,3,Bachelor,Other,3,High,3,High,Divorced,19094,4,2,Good,14
1027,32,Yes,Research & Development,16,1,Below College,Life Sciences,2,Medium,1,Low,Single,3919,1,3,Better,10
1028,42,No,Sales,8,4,Master,Marketing,3,High,2,Medium,Married,6825,0,3,Better,9
1029,44,No,Research & Development,7,4,Master,Medical,1,Low,4,Very High,Married,10248,3,3,Better,22
1030,46,No,Sales,2,4,Master,Marketing,2,Medium,1,Low,Single,18947,3,2,Good,2
1031,33,No,Research & Development,2,3,Bachelor,Medical,3,High,4,Very High,Single,2496,4,3,Better,1
1032,44,No,Research & Development,10,4,Master,Other,4,Very High,4,Very High,Married,6465,2,4,Best,4
1033,30,No,Research & Development,9,2,Some College,Medical,4,Very High,3,High,Single,2206,1,3,Better,10
1034,39,Yes,Sales,5,3,Bachelor,Technical Degree,4,Very High,4,Very High,Married,2086,3,4,Best,1
1035,24,Yes,Research & Development,1,3,Bachelor,Medical,2,Medium,4,Very High,Married,2293,2,2,Good,2
1036,43,No,Research & Development,2,2,Some College,Medical,4,Very High,3,High,Divorced,2645,1,2,Good,5
1037,50,Yes,Sales,3,2,Some College,Marketing,1,Low,3,High,Married,2683,1,3,Better,3
1038,35,No,Sales,2,3,Bachelor,Marketing,4,Very High,4,Very High,Married,2014,1,3,Better,2
1039,36,No,Research & Development,5,4,Master,Life Sciences,2,Medium,1,Low,Married,3419,9,4,Best,1
1040,33,No,Sales,1,3,Bachelor,Life Sciences,3,High,1,Low,Married,5376,2,3,Better,5
1041,35,No,Research & Development,4,2,Some College,Other,3,High,4,Very High,Divorced,1951,1,3,Better,1
1042,27,No,Research & Development,2,4,Master,Life Sciences,4,Very High,1,Low,Divorced,2341,1,3,Better,1
1043,26,Yes,Research & Development,25,3,Bachelor,Life Sciences,1,Low,3,High,Single,2293,1,2,Good,1
1044,27,No,Sales,8,3,Bachelor,Life Sciences,4,Very High,3,High,Single,8726,1,3,Better,9
1045,30,No,Research & Development,1,2,Some College,Medical,3,High,4,Very High,Single,4011,1,3,Better,12
1046,41,Yes,Research & Development,12,3,Bachelor,Technical Degree,2,Medium,3,High,Married,19545,1,3,Better,22
1047,34,No,Sales,23,4,Master,Marketing,2,Medium,3,High,Single,4568,0,3,Better,9
1048,37,No,Research & Development,19,2,Some College,Life Sciences,2,Medium,2,Medium,Married,3022,4,3,Better,1
1049,46,No,Sales,5,4,Master,Marketing,1,Low,4,Very High,Single,5772,4,3,Better,9
1050,35,No,Research & Development,8,1,Below College,Life Sciences,4,Very High,4,Very High,Married,2269,1,3,Better,1
1051,48,Yes,Research & Development,1,2,Some College,Life Sciences,1,Low,3,High,Single,5381,9,3,Better,1
1052,28,Yes,Research & Development,5,4,Master,Technical Degree,3,High,3,High,Single,3441,1,2,Good,2
1053,44,No,Sales,1,5,Doctor,Marketing,2,Medium,1,Low,Divorced,5454,5,2,Good,4
1054,35,No,Research & Development,11,2,Some College,Medical,3,High,1,Low,Married,9884,2,3,Better,4
1055,26,No,Sales,23,3,Bachelor,Marketing,3,High,4,Very High,Married,4157,7,2,Good,2
1056,33,No,Research & Development,1,2,Some College,Life Sciences,1,Low,4,Very High,Single,13458,1,3,Better,15
1057,35,No,Sales,18,5,Doctor,Life Sciences,2,Medium,1,Low,Married,9069,1,2,Good,9
1058,35,No,Research & Development,23,4,Master,Medical,3,High,1,Low,Married,4014,3,3,Better,2
1059,31,No,Research & Development,7,4,Master,Life Sciences,4,Very High,4,Very High,Divorced,5915,3,2,Good,7
1060,37,No,Research & Development,1,4,Master,Life Sciences,1,Low,3,High,Divorced,5993,1,4,Best,7
1061,32,No,Research & Development,1,3,Bachelor,Medical,1,Low,4,Very High,Married,6162,1,3,Better,9
1062,38,No,Research & Development,29,5,Doctor,Life Sciences,4,Very High,4,Very High,Single,2406,1,3,Better,10
1063,50,No,Research & Development,7,2,Some College,Medical,2,Medium,3,High,Divorced,18740,5,2,Good,27
1064,59,No,Sales,25,3,Bachelor,Life Sciences,1,Low,1,Low,Single,7637,7,2,Good,21
1065,36,No,Research & Development,8,3,Bachelor,Technical Degree,3,High,3,High,Divorced,10096,1,3,Better,17
1066,55,No,Research & Development,8,3,Bachelor,Medical,4,Very High,3,High,Divorced,14756,2,3,Better,5
1067,36,No,Research & Development,11,3,Bachelor,Life Sciences,2,Medium,2,Medium,Single,6499,1,3,Better,6
1068,45,No,Research & Development,7,3,Bachelor,Life Sciences,2,Medium,1,Low,Divorced,9724,2,3,Better,1
1069,35,No,Research & Development,1,3,Bachelor,Medical,2,Medium,1,Low,Married,2194,4,2,Good,3
1070,36,Yes,Research & Development,9,3,Bachelor,Medical,4,Very High,3,High,Married,3388,0,2,Good,1
1071,59,No,Sales,1,1,Below College,Life Sciences,1,Low,3,High,Single,5473,7,2,Good,4
1072,29,No,Research & Development,2,3,Bachelor,Life Sciences,3,High,2,Medium,Married,2703,0,3,Better,5
1073,31,No,Research & Development,1,4,Master,Medical,3,High,2,Medium,Single,2501,1,3,Better,1
1074,32,No,Research & Development,1,3,Bachelor,Life Sciences,2,Medium,2,Medium,Married,6220,1,3,Better,10
1075,36,No,Research & Development,6,3,Bachelor,Life Sciences,2,Medium,4,Very High,Married,3038,3,3,Better,1
1076,31,No,Research & Development,8,4,Master,Life Sciences,3,High,4,Very High,Single,4424,1,3,Better,11
